Id,CATEGORY,HOUSEHOLD_WEIGHT,KILOCALORIES,PROTEIN,CARBOHYDRATE,FIBER,TOTAL_FAT,SATURATED_FAT,CALCIUM,IRON,ZINC,SODIUM,VITAMIN_A,VITAMIN_C,VITAMIN_E,VITAMIN_K
1034,SYRUPS,279.0588235,255.4117647,.764705882,66.46941176,.347058821,.715882353,.297882353,25.58823529,.525294118,.475882353,83.52941176,3.705882353,.011764706,.155294118,.158823529
1035,Seal,0,351,82.6,0,0,2.3,.6,0,49.6,0,0,1310,0,0,0
1036,Snacks,28.35,429.4285714,9.888571429,62.69142857,6.057142871,15.58571429,1.834714286,81.28571429,2.305714286,1.445714286,396.2857143,3389.142857,15.54285714,2.588571429,52.87142857
1037,Soup,226.8,4,.54,.14,0,.17,0,4,.14,.02,409,0,0,0,0
1038,TACO BELL,197.4545455,219.9090909,9.370909091,21.70272727,2.945454543,10.62090909,3.365454545,98.09090909,1.946363636,1.310909091,529.9090909,59.81818182,0,.532727273,9.227272727
1039,TACO SHELLS,28.35,467.5,7.14,62.56,6.049999953,21.715,3.8075,130.5,2.18,1.505,202,8.5,0,.345,4.3
1040,TAMARIND NECTAR,251,57,.09,14.73,.5,.12,0,10,.75,.02,7,0,7.1,.12,.1
1041,TAMARINDS,120,239,2.8,62.5,5.099999905,.6,.272,74,2.8,.1,28,30,3.5,.1,2.8
1042,TANGERINE JUC,234.6666667,85.66666667,.81,20.63666667,.266666676,.233333333,.015333333,17.66666667,.213333333,.05,1.666666667,1197.666667,43.76666667,.05,0
1043,TANGERINE JUICE,247,43,.5,10.1,.200000003,.2,.024,18,.2,.03,1,253,31,.13,0
1044,TANGERINES,221.25,47.25,.6575,12.1275,1.099999994,.12,.0145,16.75,.265,.3375,4.5,921.25,28.65,.1375,0
1045,TAPIOCA,152,358,.19,88.69,.899999976,.02,.005,20,1.58,.12,1,0,0,0,0
1046,TARO,131.5,70.75,2.1375,15.41875,2.037499964,.405,.082625,75.75,1,.22625,143.375,1263.25,30.1125,1.03,.425
1047,TARO LEAVES,86.5,33,3.85,5.36,2.850000024,.575,.117,96.5,1.715,.31,2.5,4531.5,43.75,1.01,54.3
1048,TARO SHOOTS,91.5,12.5,.825,2.76,0,.085,.017,13,.505,.525,1.5,50.5,19.95,0,0
1049,TEA,82.57904762,141.7619048,2.646190476,33.32047619,1.085714285,.152380952,.013809524,16,1.140952381,.313809524,59,.952380952,4.776190476,.004285714,0
1050,TEFF,222.555,234,8.585,46.495,4,1.515,.2245,90,3.815,1.815,6,5.5,0,.04,.95
1051,TEMPEH,0,196,18.19,9.35,0,11.38,3.4,96,2.13,1.57,14,0,0,0,0
1052,TENNIS BREAD,0,258,9,53.26,2.599999905,1.05,.27,67,3.4,.53,810,0,0,.07,.2
1053,THE BUDGET GOURMET,155,143,4.3,7.4,1.5,10.7,4.9,157,1.26,0,422,4567,17.5,0,0
1054,THURINGER,56,362,17.45,3.33,0,30.43,11.51,9,2.04,2.56,1300,0,16.6,.22,1.3
1055,THYME,.8,101,5.56,24.45,14,1.68,.467,405,17.45,1.81,9,4751,160.1,0,0
1056,TILEFISH,171.5,121.5,20.995,0,0,3.5,.6545,26,.28,.45,56,64.5,0,0,0
1057,TKY,385.02,128,6.97,16.32,1.299999952,3.89,.89,27,.79,.48,420,85,.8,.24,11.5
1058,TOASTER PASTRIES,49.54210526,398.4736842,4.726315789,70.59,1.084210531,11.20368421,2.292421053,24.21052632,3.597368421,.878947368,378.3157895,985.6315789,.005263158,.127368421,1.015789474
1059,TOFU,81.25769231,184,16.22692308,6.708461538,1.607692309,11.99615385,1.727230769,542.3846154,3.83,1.850769231,450,61.76923077,.253846154,.004615385,.938461538
1060,TOMATILLOS,34,32,.96,5.84,1.899999976,1.02,.139,7,.62,.22,1,114,11.7,.38,10.1
1061,TOMATO JUC,243,17,.76,4.24,.400000006,.05,.008,10,.43,.15,139.5,450,18.3,.32,2.3
1062,TOMATO PRODUCTS,226.1818182,46,2.009090909,10.26090909,2.109090881,.471818182,.107545455,20.72727273,1.65,.344545455,401.6363636,899.1818182,13.67272727,1.550909091,3.627272727
1063,TOMATO SAU,244,42,1.3,8.71,1.5,.2,.028,14,.77,.25,11,532,13.1,1.74,3.5
1064,TOMATO&VEG JUC,242,22,.6,4.59,.800000012,.1,.014,11,.42,.2,70,1558,27.7,.32,5.3
1065,TOMATOES,167.6428571,54.64285714,2.289285714,10.03142857,2.142857173,1.543571429,.221428571,28.14285714,1.482857143,.338571429,290.2857143,590.7142857,21.98571429,.302857143,5.342857143
1066,TOPPINGS,215.47,305.8,1.42,67.136,.879999985,4.52,.4298,20.6,.374,.278,106.8,26.6,3.48,.068,.36
1067,TORTELLINI,81,307,13.5,47,1.899999976,7.23,3.6,152,1.5,1.02,344,143,0,.16,1.3
1068,TORTILLA,0,237,7.28,49.94,2.400000095,.95,.296,70,3.81,.32,482,0,0,.19,.4
1069,TORTILLA CHIPS,28.35,450,9.4225,72.19,5.300000191,14.74,2.33675,161.75,1.885,1.5075,410.5,273.5,.325,2.1475,10.5
1070,TORTILLAS,25.9,269.25,7.0975,49.5475,4.474999964,5.05,1.1045,106,2.3175,.875,292.5,.5,0,.1175,.85
1071,TRAIL MIX,146.4,459.8,12.46,49.04,0,27.94,6.356,86.2,3.104,2.778,79.4,34.6,2.6,0,0
1072,TREE FERN,51,40,.29,10.88,3.700000048,.07,.0045,8,.16,.31,123,200,30,0,0
1073,TRITICALE FLR,130,338,13.18,73.14,14.60000038,1.81,.318,35,2.59,2.66,2,0,0,.9,0
1074,TROUT,98.83333333,152.3333333,22.65666667,0,0,6.16,1.437166667,67.33333333,.85,.666666667,47.16666667,133.1666667,1.933333333,.038333333,.033333333
413,GAME MEAT,204.8791071,157.875,26.62678571,0,0,4.890892857,1.398964286,10.42857143,3.899642857,3.474285714,59.35714286,.142857143,.857142857,.225357143,.430357143
414,GAME MEAT BISON,139.73,197,23.36,0,0,10.79,1.206,8,3.035,4.7,59.5,0,0,.22,0
415,GARLIC,136,149,6.36,33.06,2.099999905,.5,.089,181,1.7,1.16,17,9,31.2,.08,1.7
416,GEFILTEFISH,42,84,9.07,7.41,0,1.73,.412,23,2.48,.82,524,89,.8,0,0
417,GELATIN DSSRT,121.6257143,247.4285714,20.56,49.46,.014285714,0,0,3.428571429,.058571429,.024285714,693,0,78.97142857,0,0
418,GELATINS,7,335,85.6,0,0,.1,.07,55,1.11,.14,196,0,0,0,0
419,GENERAL MILLS,38,381.3333333,4.433333333,75,0,7.066666667,1.646666667,53.66666667,0,0,599.3333333,0,0,0,0
420,GEORGE WESTON BAKER,67,390,13.3,72.7,5.400000095,5.1,.9,0,3.81,0,1680,0,0,0,0
421,GEORGE WESTON BAKERIES,57,232,8,46,0,1.8,.308,180,1.4,0,345,0,0,0,0
422,GINGER,5.4,347,9.12,70.79,12.5,5.95,1.94,116,11.52,4.72,32,147,7,18.02,.8
423,GINGER ROOT,2,80,1.82,17.77,2,.75,.203,16,.6,.34,13,0,5,.26,.1
424,GINKGO NUTS,70.56666667,213.6666667,5.653333333,44.05,3.100000064,1.766666667,.336333333,8.666666667,.963333333,.406666667,109,662,17.8,0,0
425,GOAT,28.35,109,20.6,0,0,2.31,.71,13,2.83,4,82,0,0,0,0
426,GOOSE,176.4,241.6,21.822,1.264,0,15.924,5.118,19,8.26,2.584,89.2,6240.6,3.18,.348,1.02
427,GOOSEBERRIES,201,58.5,.765,14.465,3.350000143,.39,.0255,20.5,.32,.115,1.5,214,18.85,.185,0
428,GOURD,133.5,28.66666667,.723333333,7.105,0,.156666667,.0125,18.66666667,.296666667,.418333333,87.16666667,114.3333333,8.416666667,0,0
429,GRANOLA BAR,28.35,533.5,7.4,54.65,4.999999881,31.7,19.8925,75,1.6,1.32,172.5,13,.55,2.445,3.55
430,GRANOLA BARS,30.45,452.4,8.31,65.60133333,4.260000038,19.49133333,7.6534,72.53333333,2.566,1.605333333,276.3333333,34.53333333,.12,.461333333,1.506666667
431,GRAPE DRINK,250,61,0,15.75,0,0,0,52,.07,.12,16,0,31.4,0,0
432,GRAPE JUC,253,60,.37,14.77,.200000003,.13,.025,11,.25,.07,5,8,12.55,0,.4
433,GRAPE JUC COCKTAIL,233,115,.42,28.56,.200000007,.2,.066,8.5,.23,.085,4.5,17.5,53.5,0,.9
434,GRAPE JUICE DRINK,250,57,0,14.55,.100000001,0,0,7,.13,.03,9,4,26.5,0,.2
435,GRAPE LEAVES,9,81,4.935,14.51,5.5,2.045,.324,326,2.805,.535,1431,16387,11.2,1,54.3
436,GRAPEFRUIT,235.7,37.6,.649,9.542,.610000011,.103,.0145,14.3,.158,.074,1.2,264.8,32.13,.066,0
437,GRAPEFRUIT JUC,239.6,62,.824,14.716,.160000002,.18,.0244,11.8,.278,.086,1.6,12.8,49.52,.096,.02
438,GRAPEFRUIT JUICE,247,39,.5,9.2,0,.1,.014,9,.2,.05,1,440,38,0,0
439,GRAPES,186.09,63,.5825,16.3,.75,.18,.059,11,.6425,.0525,3.75,68.75,4.2,.16,12.2
440,GRAVY,117.0823529,249.9411765,7.470588235,40.93235294,1.670588265,6.544705882,2.469,104.8235294,2.920588235,1.028823529,3736.764706,33.88235294,1.717647059,.105882353,.211764706
441,GREEN GIANT,265,110,11.15,8.35,3.150000096,3.55,.805,56.5,2.14,4.485,468.5,675,17.7,0,0
442,GROUNDCHERRIES,140,53,1.9,11.2,0,.7,0,9,1,0,0,720,11,0,0
443,GROUPER,230.5,105,22.11,0,0,1.16,.266,24,1.015,.495,53,154,0,0,0
444,GRY,56.7,39,1.09,6.24,.699999988,1.13,.4,6,.13,.15,587,0,0,0,0
445,GUANABANA NECTAR,251,59,.11,14.93,.100000001,.17,.029,7,.36,.02,8,0,11.1,.01,0
446,GUAVA NECTAR,251,57,.09,14.87,1,.06,0,11,1.25,.03,7,35,19.7,.05,.8
447,GUAVA SAUCE,238,36,.32,9.48,3.599999905,.14,.04,7,.18,.17,4,283,146.4,.55,1.9
448,GUAVAS,204.5,68.5,1.565,15.84,5.400000095,.775,.222,19.5,.24,.115,19.5,357,132.65,.365,1.3
449,GUINEA HEN,317,134,22.02,0,0,4.46,1.205,11,.805,1.165,68,66.5,1.5,0,0
450,HADDOCK,123.7833333,105,22.79333333,0,0,.87,.156666667,41.33333333,1.266666667,.45,306,64.33333333,0,.313333333,.066666667
451,HALIBUT,181.5,168.75,20.0725,0,0,9.2025,1.56575,28.5,.855,.465,76.5,113.25,0,.425,.05
452,HAM,33.616,190.4,16.858,2.182,.25999999,12.2,4.0956,10.8,.862,1.774,1260.8,0,1.2,.224,0
453,HAZELNUTS OR FILBERTS,28.35,637.5,14.365,17.3,10.19999981,61.775,4.59,136,3.84,2.35,0,50.5,2.9,16.39,0
454,HC CHK ENCHI SUPMA IN GRN CHILI SAU,320,110,3.79,18.2,1.5,2.45,1.03,18,.31,0,179,127,0,0,0
455,HC CONTRY RSTD TKY W/CRANBERRY APPL SAU,284,81,5.83,11.09,2.400000095,1.52,.42,17,.63,0,159,1075,45.9,0,0
456,HC MESQ BF W/BBQ SAU,312,110,7.14,14.44,1.899999976,2.64,.87,12,.75,0,129,300,5,0,0
457,HC SALBRY STK W/MSHRM GRVY,354,94,6.03,12.69,2,2.16,.87,25,.78,0,162,350,12,0,0
458,HC TRADITION MT LF W/BRN SAU,340,87,5.17,10.8,1.899999976,2.6,.62,30,.83,0,146,73,7.7,0,0
459,HEADCHEESE,28.35,157,13.83,0,0,10.9,3.402,16,1.5,.97,830,0,0,.25,3.4
460,HEALTHY CHOIC BF MACARONI,240,88,5.89,13.94,1.899999976,.93,.28,19,1.13,.51,185,214,24.2,.7,2
461,HEALTHY CHOIC CHICK TERIYAKI W/RICE MEDLEY BROCCOLI,312,80,5.03,11.43,3,1.53,.51,10,.19,0,191,80,14,0,0
462,HEALTHY CHOIC MESQ CHK BBQ,298,93,5.67,14.16,2.200000048,1.48,.39,10,.5,0,150,700,3,0,0
463,HEARTS OF PALM,146,28,2.52,4.62,2.400000095,.62,.13,58,3.13,1.15,426,0,7.9,0,0
464,HEINZ,59,241,4.4,40.3,2.099999905,6.9,1.4,48,.7,0,300,75,0,0,0
465,HERRING,111.2833333,214.1666667,19.52666667,1.606666667,0,13.77833333,2.876333333,80.16666667,1.3,.893333333,360.3333333,238.3333333,.4,.948333333,.083333333
466,HICKORYNUTS,120,657,12.72,18.25,6.400000095,64.37,7.038,61,2.12,4.31,1,131,2,0,0
467,HODGSON MILL,206,376,14.1,69.2,7.599999905,4.7,1.37,114,2.62,0,611,0,0,0,0
468,HOMINY,162.5,72,1.48,14.26,2.5,.88,.123,10,.62,1.05,210,55.5,0,.025,.1
469,HONEY ROLL SAUSAGE,23,182,18.58,2.18,0,10.5,4.08,9,2.2,3.25,1322,0,0,0,0
470,HORMEL,160,100,11.61,3.51,.550000012,4.56,1.78,6,.75,1.55,727.5,845,1.35,0,0
471,HORMEL ALWAYS TENDER,61.67,131.8,18.2,1.968,0,5.566,2.012,9,.78,1.46,466.6,0,1.76,0,0
472,HORMEL CHILI,236,82,7.2,7.59,1.299999952,2.78,.93,21,1.1,1.1,411,1010,0,0,0
473,HORMEL CHILI W/BNS,247,97,6.71,13.63,3.400000095,1.77,.74,28,1.3,1.1,471,392,.2,0,0
474,HORMEL CORNED BF HASH,236,164,8.73,9.27,1.100000024,10.24,4.32,19,1,1.4,425,0,.9,0,0
475,HORMEL RST BF HASH,236,163,9.03,9.71,1.5,10.02,4.2,18,1,1.4,336,0,.8,0,0
476,HORMEL SPAM,56,191,15.23,1.35,0,13.9,4.49,39,1.4,2.2,1032,0,38.5,0,0
477,HORMEL TURKEY CHILI W/BNS,247,82,7.58,10.35,2.599999905,1.12,.27,47,1.4,1.1,485,668,.6,0,0
478,HORMEL VEGETARIAN CHILI W/BNS,247,83,4.83,15.39,4,.28,.05,39,1.4,.7,315,786,.5,0,0
479,HORSERADISH,15,48,1.18,11.29,3.299999952,.69,.09,56,.42,.83,314,2,24.9,.01,1.3
480,HORSERADISH-TREE,84,45.8,3.364,9.438,3.119999933,.488,.0432,74.4,1.18,.454,123.6,2848,79.4,.04,43.2
481,HORSERADISH-TREE LEAFY TIPS,21,64,9.4,8.28,2,1.4,0,185,4,.6,9,7564,51.7,0,0
482,HOT POCKETS,199,259.5,10.2,29,.550000012,11.4,4.41,118.5,2.515,0,573.5,132.5,2.45,0,0
483,HOT POCKETS HAM 'N CHS STUFFED SNDWCH,256,266,11.6,30,0,11.1,4.52,196,2.04,0,520,0,0,0,0
484,HUCKLEBERRIES,0,37,.4,8.7,0,.1,0,15,.3,0,10,79,2.8,0,0
485,HUMMUS,246,171.5,6.38,17.205,5,9.095,1.289,43.5,2,1.46,310.5,17.5,3.95,.375,1.5
486,HUSH PUPPIES,152,337,7.7,46,2.799999952,13.5,2.108,278,3.04,.66,668,186,.2,1.26,23.6
487,HYACINTH BNS,199.3333333,192.6666667,13.39333333,34.05333333,0,.95,.162,70,4.753333333,5,90.33333333,0,0,0,0
488,HYACINTH-BEANS,84.66666667,48.66666667,2.666666667,9.196666667,0,.246666667,.108666667,44,.753333333,.376666667,80.66666667,131,7.7,0,0
489,ICE CREAMS,70.47321429,175.75,4.093214286,24.69214286,1.310714309,7.403214286,4.404821429,136.9642857,.359642857,.284642857,76,399,1.032142857,.133928571,.453571429
490,ICE CRM CONES,28.35,409.5,8,81.55,2.350000024,5.35,.8975,34.5,4.015,.71,231.5,0,0,.425,1.65
491,IMITATION CHS,113,390,25,1,0,32,5.815,705,.7,3,670,423,0,.28,2.7
492,INF FO,49.14666667,234,5.953333333,24.31,0,12.41,5.207,238.3333333,4.32,2.643333333,87.33333333,662.6666667,27.66666667,2.983333333,18.43333333
493,INF FOR,40.99846154,163.5384615,3.991538462,17.53769231,0,8.643846154,3.874846154,158,2.831538462,1.610769231,56.53846154,603.9230769,20.95384615,1.953076923,13.7
494,INF FOR NUTR,30.5,129,2.73,13.78,0,6.95,4.522,108,2.32,.97,39,385,11.5,.84,10.3
495,INF FORM,28.28344828,287.2068966,6.865172414,30.26344828,0,15.4337931,6.390655172,249.3103448,4.384482759,2.482068966,87.96551724,921.2413793,29.34827586,3.273103448,23.25172414
496,INF FORMMEAD JOHN,106,65,1.38,7.18,0,3.5,1.453,51,1.18,.66,18,194,7.9,.87,5.2
497,INF FORMU,29.05,271.5,8.5,31.75,0,12.25,5.2525,480.5,5.34,3.115,92.5,808.5,31.3,3.405,21.65
498,INF FORMULA,36.73137931,253.1724138,6.225517241,28.40206897,0,12.70724138,5.149,243.2068966,4.495517241,2.364482759,85.68965517,755.5172414,26.96896552,3.31,22.06206897
499,INFANT FORMULA,34.33125,201.625,4.75125,21.48,0,10.9175,5.329375,186.625,2.66625,2.03625,70.125,654.5,24,3.55,18.7375
500,INTERSTATE BRANDS CORP,43,273,8.07,50.84,2.599999905,4.15,1.013,87,2.22,0,596,0,0,0,0
501,Infa for,30.5,67,1.8,6.77,0,3.63,1.838,69,1.18,.49,29,197,5.9,1.32,9.8
502,JACKFRUIT,171.5,93,.915,23.975,1.25,.22,.0315,39,.445,.265,7,149.5,3.6,0,0
503,JAMS & PRESERVES,224,132,.3,53.6,2.5,.3,.016,9,.4,.06,0,0,0,.09,0
504,JAMS&PRESERVES,20,242,.7,64.4,.300000012,.2,.01,20,.49,.06,40,205,8.8,.13,0
505,JAVA-PLUM,135,60,.72,15.56,0,.23,0,19,.19,0,14,3,14.3,0,0
506,JELLIES,300,179,.3,46.1,.800000012,.03,.009,5,.18,.03,2,3,0,0,.2
507,JELLYFISH,58,36,5.5,0,0,1.4,.273,2,2.27,.42,9690,7,0,.02,.1
508,JERUSALEM-ARTICHOKES,150,73,2,17.44,1.600000024,.01,0,14,3.4,.12,4,20,4,.19,.1
509,JEW'S EAR,99,25,.48,6.75,0,.04,0,16,.56,.66,9,0,.6,0,0
510,JIMMY DEAN,96,401,9.9,24.1,1.5,29.4,8.97,79,1.65,0,918,0,0,0,0
511,JUICE,250.4,51,.165,12.71,0,.12,0,41.5,.125,.055,6,0,39.45,0,0
512,JUJUBE,0,183,2.45,46.915,0,.65,0,50,1.14,.12,6,20,41,0,0
513,JUTE,67.33333333,36,4.003333333,6.793333333,1.333333333,.216666667,.032666667,210,3.68,.79,88.66666667,5309.666667,34.33333333,.256666667,72
514,KALE,133.1111111,32.44444444,2.448888889,6.244444444,1.655555566,.484444444,.062666667,128.8888889,1.463333333,.256666667,111.3333333,9485.222222,58.58888889,.393333333,377.5555556
515,KAMUT,178.64,241.5,10.575,50.42,4.550000191,1.555,.096,12,2.205,1.84,3,7,0,.3,.9
516,KANPYO,6.3,258,8.58,65.04,0,.56,.045,280,5.12,5.86,15,0,.2,0,0
517,KEEBLER,31,470,6.15,70.75,0,18.05,3.335,0,0,0,371.5,0,0,0,0
518,KELLOGG,73.71428571,336.1428571,5.071428571,65.84285714,1.442857163,6.627142857,1.307142857,26.57142857,3.814285714,.957142857,413.4285714,1151,.4,0,0
519,KELLOGG'S POP-TARTS PASTRY SWIRLS,62,410,4.8,59.6,1.233333309,17.7,4.8,42.66666667,1.74,0,290,0,0,0,0
520,KENTUCKY FRIED CHICK,90.38652174,265.5652174,20.24347826,10.42,.699999993,15.88217391,3.564913043,30.26086957,.903478261,1.244347826,677.7391304,50.91304348,.634782609,.216086957,6.556521739
521,KID CUISINE CHK NUG,249,178,7.2,19.77,2.900000095,7.78,2.16,33,1.08,0,328,180,0,0,0
522,KIELBASA,65.5,267.5,12.665,3.355,0,22.445,7.7315,8.5,1.03,.78,1052,0,7.4,.11,1.05
523,KIWI FRUIT,177,61,1.14,14.66,3,.52,.029,34,.31,.14,3,87,92.7,1.46,40.3
524,KIWIFRUIT,91,61,.99,14.88,3.400000095,.44,0,26,.41,0,5,175,75,0,0
525,KOHLRABI,155,28.33333333,1.766666667,6.526666667,1.933333318,.106666667,.013666667,24.66666667,.4,.216666667,99.33333333,35.33333333,56.66666667,.506666667,.1
526,KRAFT,28,381,12.6,73.1,2.5,4.1,.8,63,4.32,0,1532,107,3.3,0,0
527,KRAFT FOODS,28,377,6.1,79.8,0,3.7,0,0,0,0,2840,0,0,0,0
528,KRAFT MACARONI & CHEESE DINNER ORIGINAL FLAVOR,70,370,16.2,67.9,2.099999905,3.7,1.8,132,3.66,0,802,72,.5,0,0
529,KUMQUATS,19,71,1.88,15.9,6.5,.86,.103,62,.86,.17,10,290,43.9,.15,0
530,LAMB,131.3136364,241.2020202,22.16914141,.060808081,0,16.22459596,7.202222222,16.17676768,2.518333333,4.20469697,68.69191919,386.469697,1.343434343,.077878788,.488888889
531,LAMBS QUARTERS,180,32,3.2,5,2.099999905,.7,.052,258,.7,.3,265,7816,37,0,494.2
532,LAMBSQUARTERS,45,42.5,3.9175,6.6825,4.399999976,.485,.02775,320.5,1.0525,.5175,20.75,6312.5,30.475,.4625,210.2
533,LASAGNA,234.835,134.5,6.705,14.01,1.800000012,5.685,2.266,130.5,.91,.89,318,388.5,9.1,.67,13.45
534,LASAGNA W/ MEAT & SAU,302.75,114,7.535,13.185,1.25,3.48,1.606,105,.91,.93,230.5,0,19.7,0,0
535,LEAVENING AGENTS,7.257142857,122.7142857,6.7,30.92857143,4.55714292,.985714286,.130142857,2523.285714,7.718571429,2.505714286,6582.142857,.142857143,.057142857,0,0
536,LEEKS,84.3,111,4.58,26.01,3.549999893,.7,.09325,119.75,2.975,.225,77.75,892,34.6,.48,24.45
537,LEMON GRASS (CITRONELLA),67,99,1.82,25.31,0,.49,.119,65,8.17,2.23,6,6,2.6,0,0
538,LEMON JUC,244,21.5,.43,6.49,.400000006,.305,.0405,9.5,.125,.055,11,14,28.15,.115,0
539,LEMON JUICE,244,25,.38,8.63,.400000006,0,0,7,.03,.05,1,20,46,.15,0
540,LEMON PEEL,6,47,1.5,16,10.60000038,.3,.039,134,.8,.25,6,50,129,.25,0
541,LEMONADE,136.165,150.375,.54625,37.935,.100000001,.0975,.01275,427.25,1.0075,.06625,4.125,3.5,59.6375,.025,0
542,LEMONADE-FLAVOR DRK,136.28,207.5,.055,50.56,0,0,.0015,46,.06,.03,76,0,17.85,0,0
543,LEMONS,160,24.5,1.15,10.01,3.749999881,.3,.039,43.5,.65,.08,2.5,26,65,.075,0
544,LENTILS,122.4285714,176.5714286,13.62142857,31.93428571,8.157142911,.777142857,.114857143,26.85714286,4.452857143,2.275714286,74.28571429,34.28571429,7.257142857,.101428571,1.2
545,LETTUCE,47.646,15,1.234,2.708,1.319999981,.206,.0212,31,.936,.192,15.2,5484.2,10.44,.186,108.56
546,LIGHT ICE CRM,342.5,175.5,3.995,26.185,.150000002,6.06,3.1935,132,.44,.52,64.5,102,.85,.085,2
547,LIMA BNS,199.2352941,136.3529412,8.391176471,25.45764706,7.529411821,.421764706,.097470588,33.88235294,2.707058824,.984705882,111.3529412,126.9411765,6.888235294,.308823529,3.429411765
548,LIME JUC,246,21,.25,6.69,.400000006,.23,.026,12,.23,.06,16,16,6.4,.12,.5
549,LIME JUICE,241.53,25,.42,8.42,.400000006,.07,.008,14,.09,.08,2,50,30,.22,.6
550,LIMEADE,141.615,149.5,0,38.055,0,0,0,1,0,.025,1.5,0,8.6,0,0
551,LIMES,67,30,.7,10.54,2.799999952,.2,.022,33,.6,.11,2,50,29.1,.22,.6
552,LING,172,99,21.67,0,0,.73,.06,39,.74,.89,154,107.5,0,0,0
553,LINGCOD,172,97,20.15,0,0,1.21,.226,16,.365,.515,67.5,54,0,0,0
554,LIPTON,93,418,15.5,62.4,0,11.8,4.57,127,3.02,0,1770,0,0,0,0
555,LITCHIS,96.25,171.5,2.315,43.615,2.949999929,.82,.1845,19,1.005,.175,2,0,127.25,.19,1
556,"LITTLE CAESARS 14"" CHS PIZZA",75.115,286,14.43,26.475,1.449999988,13.605,5.782,323,1.475,1.82,443.5,438,0,1.01,8.2
557,"LITTLE CAESARS 14"" ORIGINAL RND CHS PIZZA",89.07,265,13.39,31.5,1.700000048,9.54,4.206,233,2.34,1.61,454,360,0,.61,5.9
558,"LITTLE CAESARS 14"" ORIGINAL RND MEAT & VEG PIZZA",115.23,243,12.12,23.1,2.099999905,11.35,4.561,167,2.11,1.55,578,211,0,.9,5.7
559,"LITTLE CAESARS 14"" ORIGINAL RND PEPPERONI PIZZA",90.31,273,13.59,31.01,1.700000048,10.5,4.541,210,2.34,1.66,518,331,0,.76,5.9
560,"LITTLE CAESARS 14"" PEPPERONI PIZZA",104.38,265,12.93,29.03,1.5,10.81,4.314,201,2.3,1.57,492,315,0,.81,7.1
561,LIVER CHEESE,28.35,304,15.2,2.1,0,25.6,8.96,8,10.83,3.7,1225,17490,3,0,0
562,LIVER SAUSAGE,18,326,14.1,2.2,0,28.5,10.6,26,6.4,2.3,860,27667,0,0,0
563,LOBSTER,147.5,94,19.65,.89,0,.745,.1435,54.5,.345,2.97,338,78.5,0,1.235,.1
564,LOGANBERRIES,147,55,1.52,13.02,5.300000191,.31,.011,26,.64,.34,1,35,15.3,.87,7.8
565,LOMA LINDA BIG FRANKS,51,217,21.47,5.77,3.5,12.03,1.61,17,2.52,2.29,426,0,0,0,0
566,LOMA LINDA DINNER CUTS,92,104,19.46,4.15,2.400000095,1.1,.2,10,1.4,1.03,496,0,0,0,0
567,LOMA LINDA FRIED CHIK'N W/ GRAVY,80,181,13.15,5.2,2.799999952,11.91,1.84,11,1.64,.53,447,0,0,0,0
568,LOMA LINDA LINKETTS,35,208,21.29,4.35,3,11.76,1.57,11,1.75,1.48,401,0,0,0,0
569,LOMA LINDA LITTLE LINKS,46,221,19.38,5.53,4.199999809,13.46,2,19,3.28,1.51,472,0,0,0,0
570,LOMA LINDA LOFAT BIG FRANKS,51,154,23.1,4.9,4.099999905,4.69,.5,17,2.29,2.5,481,0,0,0,0
571,LOMA LINDA REDI-BURGER,85,149,21.89,8.15,4.300000191,3.18,.44,17,2,1.71,508,0,0,0,0
572,LOMA LINDA SWISS STAKE W/ GRAVY,92,141,10.17,10.37,3.200000048,6.51,.83,35,1.77,.67,471,0,0,0,0
573,LOMA LINDA TENDER BITS,85,135,15.12,8.29,4.300000191,4.64,.7,17,1.64,.95,613,0,0,0,0
574,LOMA LINDA TENDER ROUNDS W/ GRAVY,80,145,16.26,7.4,3.5,5.63,.7,14,1.51,.86,443,0,0,0,0
575,LOMA LINDA VEGE-BURGER,55,115,22.22,3.72,2.599999905,1.24,.23,16,1.71,1.3,222,0,0,0,0
576,LONGANS,1.6,173,3.105,44.57,.550000012,.25,0,23,2.765,.135,24,0,56,0,0
577,LOQUATS,149,47,.43,12.14,1.700000048,.2,.04,16,.28,.05,1,1528,1,0,0
578,LOTUS ROOT,67,68.66666667,1.92,16.42333333,3.699999968,.08,.024,32.33333333,.986666667,.35,122,0,32.93333333,.003333333,.033333333
579,LOTUS SEEDS,30.175,210.5,9.77,40.875,0,1.25,.209,103.5,2.24,.665,3,31.5,0,0,0
580,LOUIS RICH,38,133.7777778,16.38333333,3.602777778,.027777778,6,1.669722222,40.55555556,1.333888889,1.447777778,1083.666667,0,0,0,0
581,LUNCHEON MEAT,37.47714286,273.7142857,14.08,2.752857143,0,22.52285714,8.290714286,10.14285714,1.231428571,2.127142857,1190.857143,0,11.78571429,.255714286,.542857143
582,LUNCHEON SAUSAGE,23,260,15.38,1.58,0,20.9,7.62,13,1.43,2.45,1182,0,0,0,0
583,LUNCHEON SLICES,0,189,17.78,4.44,0,11.11,1.338,41,1.8,1.6,711,0,0,3,0
584,LUPINS,170.6666667,202,22.43666667,19.85,1.866666635,5.193333333,.616,92.66666667,2.253333333,2.503333333,86.33333333,10,2.333333333,0,0
585,LUXURY LOAF,28.35,141,18.4,4.9,0,4.8,1.58,36,1.05,3.05,1225,0,0,0,0
