Id,CATEGORY,HOUSEHOLD_WEIGHT,KILOCALORIES,PROTEIN,CARBOHYDRATE,FIBER,TOTAL_FAT,SATURATED_FAT,CALCIUM,IRON,ZINC,SODIUM,VITAMIN_A,VITAMIN_C,VITAMIN_E,VITAMIN_K
250,COFFEE,74.45733333,202.3333333,4.208,34.374,.273333335,4.996,2.615933333,66.86666667,1.248666667,.174666667,152.9333333,1.333333333,.1,.152666667,1.253333333
251,COFFEE SUB,92.605,197.25,3.4775,42.405,5.949999812,1.54,.6685,56,2.165,.35,65.75,33,.225,.25,.4
252,COFFEE&COCOA (MOCHA) PDR,6.4,257,9,71.4,4.800000191,13.21,11.376,60,3.06,1.01,500,4,0,.09,1.7
253,COFFEECAKE,28.35,367.2857143,5.871428571,53.35714286,1.785714286,14.91428571,3.875,76.28571429,1.371428571,.584285714,395.1428571,131,.285714286,.045714286,1.271428571
254,COLESLAW,8,78,1.29,12.41,1.5,2.61,.385,45,.59,.2,23,367,32.7,0,0
255,COLLARDS,173.3333333,31.16666667,2.55,6.028333333,3.066666603,.388333333,.0495,174.3333333,.97,.231666667,112,9177.5,27.41666667,1.086666667,439.5333333
256,COMPANY,126,63,2.38,6.35,.400000006,3.175,1.389,8,1,0,611,297.5,0,0,0
257,CONCH,127,130,26.3,1.7,0,1.2,.37,98,1.41,1.71,153,23,0,6.33,.2
258,CONTINEN MILL,40,418,5.6,75.6,1.700000048,10.3,2.1,82,2.47,0,590,0,0,0,0
259,COOKIES,30.22,450.015873,5.646984127,67.0584127,1.860317456,18.79888889,5.24947619,43.07936508,2.748253968,.612063492,326.3492063,127.7777778,.126984127,.531746032,3.493650794
260,CORIANDER (CILANTRO) LEAVES,4,23,2.13,3.67,2.799999952,.52,.014,67,1.77,.5,46,6748,27,2.5,310
261,CORIANDER LEAF,1.8,279,21.93,52.1,10.39999962,4.78,.115,1246,42.46,4.72,211,5850,566.7,1.03,1359.5
262,CORN,133.3573684,124.8421053,3.725263158,27.19868421,3.055263182,1.455263158,.228894737,4.894736842,.753684211,.790789474,101.1842105,85.18421053,4.736842105,.070526316,.215789474
263,CORN BRAN,76,224,8.36,85.64,79,.92,.13,42,2.79,1.56,7,71,0,.42,.3
264,CORN CAKES,9,387,8.1,83.4,0,2.4,.42,19,1.4,2,28,242,0,0,0
265,CORN FLR,99.14166667,365.1666667,7.813333333,77.14666667,5.75000006,3.626666667,.386833333,50.5,3.638333333,1.605,4.333333333,108,0,.19,.2
266,CORN PUDD,250,131,4.35,17,1.399999976,5.08,2.455,40,.54,.52,281,300,3.7,.12,.5
267,CORN W/RED&GRN PEPPERS,227,75,2.33,18.17,0,.55,.085,5,.79,.37,347,232,8.8,0,0
268,CORN-BASED,28.35,525.1666667,6.476666667,59.48166667,3.066666682,29.90333333,11.26833333,70.16666667,2.023333333,.701666667,874,248.5,.6,1.458333333,2.116666667
269,CORNED BEEF LOAF,28.35,153,22.9,0,0,6.1,2.6,11,2.04,4.09,953,0,0,0,0
270,CORNMEAL,115.968,363.6,8.445333333,75.62333333,6.619999949,3.109333333,.4528,137.7333333,3.887333333,1.634,529.4,108.0666667,0,.196666667,.08
271,CORNNUTS,28.35,440,8.966666667,71.72,7.766666571,14.71333333,2.523333333,20.33333333,1.683333333,1.82,719.6666667,125.6666667,5.3,.66,3.1
272,CORNSALAD,56,21,2,3.6,0,.4,0,38,2.18,.59,4,7092,38.2,0,0
273,COTTONSEED FLR,61.175,345.5,45.395,38.32,1.5,3.805,.949,476,12.62,11.65,35,433,2.4,0,0
274,COTTONSEED KRNLS,149,506,32.59,21.9,5.5,36.29,9.699,100,5.4,6,25,442,9,0,0
275,COTTONSEED MEAL,28.35,367,49.1,38.43,0,4.77,1.207,504,13.35,12.32,37,458,2.5,0,0
276,COUSCOUS,165,244,8.275,50.325,3.199999988,.4,.073,16,.73,.545,7.5,0,0,.065,.05
277,COWPEAS,137.5,106.4285714,7.750714286,18.99357143,3.435714279,.665,.187357143,50.57142857,2.730714286,1.366428571,124.4285714,457.8571429,10.52142857,.067857143,.6
278,COWPEAS (BLACKEYES),162.5,113.8333333,5.875,21.87833333,5.466666698,.521666667,.136166667,75.66666667,1.655,1.248333333,83.33333333,438.8333333,2.683333333,.173333333,16.7
279,CRAB,102.6363636,101.8181818,18.74545455,1.564545455,.045454545,1.736363636,.291818182,61.90909091,1.044545455,4.172727273,535.1818182,76.45454545,4.336363636,.35,.054545455
280,CRABAPPLES,110,76,.4,19.95,0,.3,.048,18,.36,0,1,40,8,0,0
281,CRACKERS,35.86580645,434.483871,10.16387097,69.72483871,5.854838714,13.18032258,2.962870968,87.51612903,3.841290323,1.312580645,616.3225806,29.58064516,.087096774,.613548387,5.758064516
282,CRANBERRIES,50,136.3333333,.52,35.62,5.666666508,.566666667,.038,12.66666667,.593333333,.07,10.33333333,373.3333333,9.5,.756666667,2.966666667
283,CRANBERRY,0,55,.4,12.2,0,.5,0,26,.4,0,0,90,21,0,0
284,CRANBERRY JUC,253,46,.39,12.2,.100000001,.13,.01,8,.25,.1,2,45,9.3,1.2,5.1
285,CRANBERRY JUC COCKTAIL,190.7225,80.25,.02,20.345,.050000001,.0275,.00225,7,.1275,.035,3.25,13,32.7,.0675,.3
286,CRANBERRY SAU,277,151,.2,38.9,1,.15,.013,4,.22,.05,29,42,2,.83,1.4
287,CRANBERRY-APPLE JUC DRK,242.5,41,.05,10.275,.050000001,.055,.0065,6.5,.065,.02,3.5,6.5,35.75,.195,.8
288,CRANBERRY-APRICOT JUC DRK,245,64,.2,16.2,.100000001,0,0,9,.15,.04,2,463,0,0,0
289,CRANBERRY-GRAPE JUC DRK,245,56,.2,14,.100000001,.1,.033,8,.01,.04,3,5,32,0,0
290,CRANBERRY-ORANGE RELISH,275,178,.3,46.2,0,.1,.012,11,.2,0,32,70,18,0,0
291,CRAYFISH,85,79.5,16.2775,0,0,1.105,.17975,40.75,.8325,1.3875,77.75,50.75,.775,1.0875,.05
292,CREAM,156.6875,200.75,2.58625,5.2925,0,19.25875,11.8995,93.25,.0575,.415,68.5,646.125,.675,.535,1.675
293,CREAM PUFFS,28.35,310,7.85,22.85,.600000009,20.7,4.639,51,1.595,.665,449,875,.15,2.12,18.5
294,CREAM SUB,98.5,253.3333333,.898333333,35.95833333,.383333345,12.35166667,6.336333333,5.166666667,.311666667,.098333333,120.5,20.66666667,0,.556666667,3.283333333
295,CREAM SUBSTITUTE,94,545,4.79,54.88,0,35.48,32.525,22,1.15,.51,181,33,0,.59,8.8
296,CREAMY DRSNG,239.5,150,1.25,11.5,0,11,1.735,21,.195,.11,977.5,33.5,.2,3.655,19.15
297,CRESS,106.6666667,26,2.133333333,4.366666667,.833333333,.633333333,.021,67.66666667,.966666667,.176666667,88.66666667,5405,38.33333333,.566666667,436.2333333
298,CRISPED RICE BAR,28.35,404,5.1,73,2.200000048,13.5,5.24,21,6.3,.86,278,1764,0,0,0
299,CRLS,0,104,3.22,19.82,1.700000048,1.28,.22,240,4.25,.58,177,673,0,3.18,.6
300,CRMY DRSG,264,107,1.4,20,0,2.7,.494,36,.25,.18,1000,3,0,.67,2.3
301,CROAKER,83,162.5,17.99,3.77,.200000003,7.92,2.282,23.5,.615,.47,202,67.5,0,.5,.05
302,CROISSANTS,28.35,358,8.266666667,43.3,2.566666603,16.86666667,9.093666667,40,1.76,.906666667,524.3333333,643,.3,.76,4.233333333
303,CROUTONS,35,436,11.35,68.5,5.049999953,12.45,3.3785,86,3.45,.915,968,16,0,.2,3.8
304,CUCUMBER,92.5,13.5,.62,2.895,.599999994,.135,.025,15,.25,.185,2,88.5,3,.03,11.8
305,CURRANTS,122.6666667,134,2.293333333,34.42,3.700000127,.293333333,.026333333,58,1.933333333,.386666667,3.666666667,115,75.56666667,.403333333,4.766666667
306,CUSK,108.5,99.5,21.67,0,0,.785,.065,11.5,.945,.435,35.5,64.5,0,0,0
307,CUSTARD-APPLE,0,101,1.7,25.2,2.400000095,.6,.231,30,.71,0,4,33,19.2,0,0
308,CUTTLEFISH,85,118.5,24.36,1.23,0,1.05,.177,135,8.43,2.595,558,525,6.9,0,0
309,Cake,28.35,399,3.63,60.31,3.200000048,15.93,4.884,116,3.6,1.04,389,2,1.9,1.09,10.6
310,Crackers,39,490,8.92,58.76,1.899999976,24.41,0,89,2.13,.57,878,39,2.6,1.99,20.5
311,DAIRY DRK MIX,132.105,179,13.595,27.955,5.099999816,1.415,1.0175,769.5,4.19,1.96,360,379.5,3.05,.02,.45
312,DANDELION GREENS,55,45,2.7,9.2,3.5,.7,.17,187,3.1,.41,76,10161,35,3.44,778.4
313,DANDELION GRNS,105,33,2,6.4,2.900000095,.6,.073,140,1.8,.28,162,10690.5,18,1.52,455.15
314,DANISH PASTRY,28.35,386.75,6.3375,45.4125,1.637499988,20.7375,4.664375,56.875,1.27,.64625,371.375,87.5,2.2125,.23625,3.5875
315,DATES,85.305,279.5,2.13,75,7.349999905,.27,.016,51.5,.96,.365,1.5,79.5,.2,.025,2.7
316,DEER (VENISON),0,111,21.5,0,0,2.66,.63,7,2.9,0,0,0,0,0,0
317,DESSERT TOPPING,66.875,336.75,2.6825,27.0475,0,24.985,22.0255,29.5,.0525,.0975,68.75,130.75,.175,.9425,6.1
318,DESSERTS,95.7125,228.625,2.68,47.49,1.449999988,4.1925,2.12675,548.75,1.70125,1.33875,3372.75,123.75,.2875,.16875,.8
319,DILL WEED,6,148,11.71,31.42,7.850000143,2.74,.147,996,27.685,2.105,134.5,6784,67.5,0,0
320,DOCK,44.33333333,20.66666667,1.886666667,3.02,1.833333333,.66,0,40,2.186666667,.18,82,3649.333333,33.53333333,0,0
321,DOLPHINFISH,181.5,97,21.11,0,0,.8,.2145,17,1.29,.525,100.5,194,0,0,0
322,"DOMINO'S 14"" Cheese Pizza",88.79,282,11.76666667,32.13,1.933333278,11.85,4.776,168,1.99,1.393333333,512,350.6666667,0,1.123333333,9.1
323,"DOMINO'S 14"" Pepperoni Pizza",123.34,279,11.855,32.295,1.799999953,11.41,4.58,117,2.48,1.37,516.5,268,0,.925,5.55
324,DOO DADS SNACK MIX,56.7,456,10.3,64.3,6.800000191,18.5,3.53,74,2.5,2.25,1271,151,.1,0,0
325,DOUGHNUTS,28.35,389.75,5.50125,46.78,1.512500011,20.6875,5.03425,60.875,1.84875,.69,346.625,27.125,.2125,.5275,6.85
326,DOVE,140,219,23.9,0,0,13,3.739,17,5.91,3.83,57,95,2.9,.06,4
327,DRINK MIX,111.65,376,0,94.705,0,.615,0,20,.17,.03,333,0,.2,0,0
328,DRUM,176,136,20.015,0,0,5.625,1.2765,68.5,1.025,.755,85.5,183,1,0,0
329,DUCK,129.6666667,197.0833333,21.36666667,.294166667,0,11.67,3.7495,9.083333333,5.13,1.025,76.75,3405.166667,2.858333333,.233333333,1.433333333
330,DURIAN,243,147,1.47,27.09,3.799999952,5.33,0,6,.43,.28,2,44,19.7,0,0
331,DUTCH BRAND LOAF,38,273,12,3.93,.300000012,22.91,9.043,7,.16,2.53,1055,110,1.4,.26,1.2
332,Doughnuts,28.35,435,5.4,48.48,1.75,24.4,10.2985,24.5,3.5,.83,485,13.5,1.3,1.955,9.15
333,ECLAIRS,28.35,262,6.4,24.2,.600000024,15.7,4.119,63,1.18,.61,337,828,.3,2.01,17.5
334,EDAMAME,136.69,116,10.565,9.26,5,4.965,.31,61.5,2.19,1.345,6,0,7.9,.7,29.05
335,EEL,116.175,210,21.045,0,0,13.305,2.6905,23,.57,1.85,58,3632,1.8,2,0
336,EGG,119.573913,264.6521739,25.58304348,2.526521739,0,16.04565217,4.903565217,94.26086957,2.646521739,1.772608696,481.6521739,725.4347826,.008695652,1.06826087,.87826087
337,EGG CUSTARDS,28.33333333,214,5.006666667,39.17,0,4.383333333,1.836333333,172,.876666667,.693333333,152.6666667,194,.666666667,0,0
338,EGG MIX,0,549,35.6,23.97,0,34.5,10.305,171,3.23,2.76,576,398,0,2.04,.7
339,EGG ROLLS,81.18,205,9,30.01,2.433333317,5.45,1.102666667,42.33333333,1.73,.656666667,548.6666667,0,0,.393333333,29.43333333
340,EGG SUBSTITUTE,166.9666667,229.3333333,26.26333333,8.546666667,0,9.14,2.118333333,150.6666667,2.413333333,1.366666667,392,605,.433333333,1.04,.466666667
341,EGGNOG-FLAVOR MIX,272,95,2.93,14.2,0,3.02,1.701,92,.12,.35,55,94,0,.06,.2
342,EGGPLANT,104,35.25,.8925,8.085,2.725000024,.3375,.0655,11.5,.3775,.1575,479,37.75,1.2,.2875,3.25
343,EGGS,0,133,13.1,7.5,0,5.6,1.052,17,.23,.14,162,410,0,.84,1.8
344,ELDERBERRIES,145,73,.66,18.4,7,.5,.023,38,1.6,.11,6,600,36,0,0
345,ELK,0,97,20.14,0,0,1.8,.706,4,7.17,5.82,49,0,0,0,0
346,EMU,386.02,133,26.10666667,0,0,2.400833333,.645,5.333333333,5.209166667,4.081666667,97.66666667,4.416666667,0,.229166667,.3
347,ENDIVE,513,17,1.25,3.35,3.099999905,.2,.048,52,.83,.79,22,2167,6.5,.44,231
348,ENG DRK,250,5,.25,.7,0,.08,0,13,.02,0,84,0,0,0,0
349,ENGLISH,28.35,270,10.32,52.65,2.799999952,2.02,.533,197,4.65,1.4,477,0,1.7,.36,1.4
350,ENGLISH MUFFIN,28.35,227,8.87,44.17,3.5,1.69,.733,163,4,1.05,425,0,1.8,.31,1.2
351,ENGLISH MUFFINS,28.35,236.4545455,8.670909091,46.88545455,3.91818181,1.964545455,.333818182,169.4545455,2.826363636,1.103636364,447.5454545,1.636363636,.254545455,.223636364,.8
352,ENGY DRK,255.25,45,.25,10.94,0,.08,0,13,.02,0,84,0,0,0,0
353,ENSURE FIBER W/ FOS,0,97,3.43,16.36,1.100000024,2.38,.201,136,1.75,1.48,78,481,11.7,2.92,7.8
354,ENSURE PLUS,252,141,5.16,19.88,0,4.52,.673,79,1.79,1.51,95,497,11.9,1.34,7.9
355,ENTREES,75.5,249,16.705,12.745,.450000003,14.77,3.28,177.5,1.985,1.99,675.5,280,.15,0,0
356,EPAZOTE,.8,32,.33,7.44,3.799999952,.52,0,275,1.88,1.1,43,57,3.6,0,0
357,EPPAW,100,150,4.6,31.68,0,1.8,0,110,1.15,1.15,12,0,13,0,0
358,Egg,183.43,281.5,11.4,24.115,.700000018,15.46,4.925,102.5,1.58,1.195,702,223.5,.9,.54,1.9
359,Elk,0,129.6666667,26.58333333,0,0,2.583333333,1.030333333,4.333333333,4.67,5.583333333,49.66666667,0,0,.42,0
360,FALAFEL,17,333,13.31,31.84,0,17.8,2.383,54,3.42,1.5,294,13,1.6,0,0
361,FAST FD,103.632,276,12.39,29.022,1.8,12.258,5.173,184.4,1.874,1.424,590.4,352.4,.04,.942,8.76
362,FAST FDS,310.36,244,14.265,14.035,1.25,14.545,6.003,73,3.145,2.68,435,164.5,.45,.07,11.7
363,FAST FOODS,177.1979231,246.7153846,10.32453846,23.52769231,.276923076,12.70176923,4.817776923,86.53846154,1.793615385,1.513,488.8461538,260.6,1.954615385,.191,1.85
364,FAT,205,897.6666667,0,0,0,99.86666667,36.2,0,0,0,0,0,0,2.75,0
365,FEIJOA,243,49,1.24,10.63,0,.78,0,17,.08,.04,3,0,20.3,0,0
366,FENNEL,87,31,1.24,7.29,3.099999905,.2,0,49,.73,.2,52,134,12,0,0
367,FIDDLEHEAD FERNS,0,34,4.43,5.64,0,.375,0,28,1.02,.77,.5,3483.5,22.2,0,0
